	TÊN	ĐTB	Rank
0	Hà Nam	17.475095320623875	1
1	Nam Định	17.242283609576425	2
2	Ninh Bình	17.207085941946517	3
3	Bắc Ninh	17.124095000957663	4
4	Vĩnh Phúc	17.04950859950865	5
5	TP. Hải Phòng	16.993370729219773	6
6	Thái Bình	16.662050448320095	7
7	Bắc Giang	16.649308846761457	8
8	Nghệ An	16.60253623188407	9
9	Thừa Thiên Huế	16.44142826181187	10
10	Kon Tum	16.403240740740728	11
11	Hải Dương	16.362515171948704	12
12	Phú Thọ	16.20599304237822	13
13	Quảng Trị	16.17401722201423	14
14	Bình Thuận	15.986788179465066	15
15	Lào Cai	15.977919708029203	16
16	Lâm Đồng	15.90393977219535	17
17	Bình Dương	15.895025849913852	18
18	Điện Biên	15.873342002600795	19
19	Bà Rịa – Vũng Tàu	15.841960696739607	20
20	Đồng Nai	15.733694107814415	21
21	Bến Tre	15.724805843195298	22
22	TP.Cần Thơ	15.724703159589446	23
23	Hà Nội	15.717297305893943	24
24	Hà Tĩnh	15.701891000775843	25
25	Vĩnh Long	15.700865012519916	26
26	Tuyên Quang	15.67694610778444	27
27	TP.HCM	15.672901771205709	28
28	Quảng Ninh	15.590780637940702	29
29	Hưng Yên	15.571481411229087	30
30	Bạc Liêu	15.556000905797067	31
31	Đồng Tháp	15.540962018297806	32
32	TP. Đà Nẵng	15.515719987718763	33
33	Quảng Ngãi	15.41036894696387	34
34	Bình Phước	15.367803242034654	35
35	Tiền Giang	15.293862892151642	36
36	Lạng Sơn	15.15414201183434	37
37	Thanh Hóa	15.141631799163196	38
38	Khánh Hòa	15.040417006248303	39
39	Đắk Nông	14.974495677233431	40
40	Gia Lai	14.970785755757722	41
41	Sóc Trăng	14.954642744727765	42
42	Yên Bái	14.928262711864406	43
43	Ninh Thuận	14.92434741338398	44
44	Long An	14.862129873099347	45
45	Tây Ninh	14.859766679521806	46
46	Đắk Lắk	14.837009458643585	47
47	Sơn La	14.837009458643585	48
48	Trà Vinh	14.73630973769313	49
49	Lai Châu	14.678082191780838	50
50	Bình Định	14.648244637798474	51
51	Quảng Nam	14.607921374764633	52
52	Kiên Giang	14.473914743840485	53
53	Hậu Giang	14.45760579489137	54
54	Cà Mau	14.129725325884543	55
55	Thái Nguyên	14.088462278675898	56
56	Phú Yên	14.03760105593136	57
57	Quảng Bình	13.92430986887509	58
58	Cao Bằng	13.344679399727148	59
59	Bắc Kạn	13.33507246376812	60
60	Hà Giang	13.0868330464716	61
61	Hòa Bình	12.68083616298814	62
62	An Giang	5.2778576298922575	63
63	Toàn quốc	15.291308921493838	0
