#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,204,164","+399,822","470,852","+3,290","29,740,843","+280,566","3,992,469","29,611",Asia
North America,"37,505,338","+67,128","847,562",+698,"29,188,583","+93,310","7,469,193","17,195",North America
South America,"23,491,956","+85,672","626,272","+2,851","21,120,247","+130,703","1,745,437","24,923",South America
Europe,"42,950,638","+96,205","978,486","+2,738","37,324,269","+174,002","4,647,883","32,666",Europe
Africa,"4,477,807","+8,735","118,501",+234,"3,996,320","+10,021","362,986","3,776",Africa
Oceania,"61,471",+265,"1,175",+2,"34,799",+16,"25,497",4,Australia/Oceania
721,15,706,0,0
World,"142,692,095","+657,827","3,042,863","+9,813","121,405,767","+688,618","18,243,465","108,175","18,306",390.4,All
1,China,"90,510",+11,"4,636","85,559",+10,315,6,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,902","310,467",9
2,USA,"32,475,043","+51,650","581,542",+488,"25,043,463","+77,547","6,850,038","9,817","97,654","1,749","430,886,619","1,295,692","332,553,223",North America,10,572,1
3,India,"15,314,714","+256,947","180,550","+1,757","13,103,220","+154,372","2,030,944","8,944","11,011",130,"267,894,549","192,615","1,390,827,315",Asia,91,"7,703",5
4,Brazil,"13,977,713","+34,642","375,049","+1,607","12,460,712","+69,113","1,141,952","8,318","65,388","1,754","28,600,000","133,791","213,765,924",South America,15,570,7
5,France,"5,296,222","+6,696","101,180",+447,"4,151,289","+35,205","1,043,753","5,970","80,996","1,547","72,613,536","1,110,485","65,389,040",Europe,12,646,1
6,Russia,"4,710,690","+8,589","105,928",+346,"4,333,598","+6,818","271,164","2,300","32,268",726,"126,000,000","863,105","145,984,544",Europe,31,"1,378",1
7,UK,"4,390,783","+2,963","127,274",+4,"4,156,135","+5,567","107,374",332,"64,408","1,867","140,944,028","2,067,509","68,170,950",Europe,16,536,0
8,Turkey,"4,323,596","+55,149","36,267",+341,"3,736,537","+48,947","550,792","3,319","50,828",426,"44,087,628","518,295","85,062,751",Asia,20,"2,345",2
9,Italy,"3,878,994","+8,864","117,243",+316,"3,268,262","+19,669","493,489","3,244","64,232","1,941","55,241,172","914,731","60,390,627",Europe,16,515,1
10,Spain,"3,428,354","+6,898","77,102",+40,"3,144,353","+5,040","206,899","2,276","73,304","1,649","44,374,223","948,790","46,769,272",Europe,14,607,1
11,Germany,"3,164,447","+13,417","80,774",+183,"2,787,200","+12,000","296,473","4,932","37,673",962,"52,737,238","627,838","83,998,156",Europe,27,"1,040",2
12,Argentina,"2,714,475","+20,461","59,476",+248,"2,386,383","+22,212","268,616","4,304","59,624","1,306","10,221,233","224,511","45,526,683",South America,17,765,4
13,Poland,"2,695,327","+7,283","62,133",+101,"2,334,978","+23,833","298,216","3,346","71,280","1,643","13,503,602","357,111","37,813,420",Europe,14,609,3
14,Colombia,"2,667,136","+14,189","68,748",+420,"2,488,246","+16,748","110,142","4,299","51,975","1,340","13,907,796","271,026","51,315,383",South America,19,746,4
15,Mexico,"2,305,602","+1,506","212,339",+111,"1,829,480","+2,834","263,783","4,798","17,734","1,633","6,407,248","49,282","130,013,061",North America,56,612,20
16,Iran,"2,261,435","+24,346","67,130",+398,"1,797,319","+11,961","396,986","4,843","26,652",791,"14,500,500","170,897","84,849,562",Asia,38,"1,264",6
17,Ukraine,"1,953,016","+6,506","40,000",+214,"1,487,677","+5,598","425,339",177,"44,873",919,"8,958,482","205,833","43,523,050",Europe,22,"1,088",5
18,Peru,"1,707,787","+3,030","57,537",+307,"1,636,286","+8,317","13,964","2,574","51,227","1,726","10,461,475","313,803","33,337,663",South America,20,579,3
19,Indonesia,"1,609,300","+4,952","43,567",+143,"1,461,414","+6,349","104,319","5,834",158,"13,891,160","50,361","275,830,191",Asia,171,"6,331",20
20,Czechia,"1,602,711",+823,"28,532",+30,"1,508,982",+39,"65,197",879,"149,439","2,660","15,718,197","1,465,583","10,724,874",Europe,7,376,1
21,South Africa,"1,567,513",+744,"53,757",+21,"1,490,876",+733,"22,880",546,"26,167",897,"10,355,196","172,862","59,904,554",Africa,38,"1,114",6
22,Netherlands,"1,410,950","+7,117","16,938",+22,"1,177,664","+7,581","216,348",801,"82,198",987,"11,781,337","686,350","17,165,198",Europe,12,"1,013",1
23,Canada,"1,131,773","+10,275","23,667",+44,"1,019,779","+9,829","88,327","1,167","29,779",623,"30,041,115","790,426","38,006,231",North America,34,"1,606",1
24,Chile,"1,131,340","+6,622","25,277",+100,"1,060,826","+7,191","45,237","3,364","58,780","1,313","12,426,663","645,636","19,247,158",South America,17,761,2
25,Romania,"1,031,072","+1,768","26,381",+149,"944,774","+3,982","59,917","1,448","53,885","1,379","7,914,543","413,621","19,134,752",Europe,19,725,2
26,Iraq,"984,950","+7,775","15,026",+45,"864,039","+7,507","105,885",493,"24,059",367,"8,847,336","216,111","40,938,874",Asia,42,"2,725",5
27,Belgium,"949,996","+2,996","23,747",+29,"804,223","+5,103","122,026",924,"81,685","2,042","11,985,089","1,030,538","11,629,938",Europe,12,490,1
28,Philippines,"945,745","+9,628","16,048",+88,"788,322","+9,266","141,375",750,"8,540",145,"11,197,550","101,113","110,742,974",Asia,117,"6,901",10
29,Sweden,"900,138","13,788","740,174","+9,787","146,176",391,"88,687","1,358","8,151,774","803,165","10,149,565",Europe,11,736,1
30,Israel,"837,218",+171,"6,341",+6,"828,686",+198,"2,191",187,"91,026",689,"13,977,443","1,519,685","9,197,590",Asia,11,"1,450",1
31,Portugal,"831,221",+220,"16,946",+1,"789,216",+547,"25,059",112,"81,709","1,666","9,784,610","961,832","10,172,888",Europe,12,600,1
32,Pakistan,"761,437","+5,152","16,316",+73,"662,845","+3,362","82,276","4,515","3,395",73,"11,204,529","49,953","224,300,855",Asia,295,"13,747",20
33,Hungary,"753,188","+2,680","25,381",+197,"458,212","+3,183","269,595","1,052","78,126","2,633","5,144,130","533,585","9,640,700",Europe,13,380,2
34,Bangladesh,"723,221","+4,271","10,497",+112,"621,300","+6,364","91,424","4,357",63,"5,194,219","31,291","165,998,155",Asia,230,"15,814",32
35,Jordan,"689,482","+3,509","8,308",+62,"644,486","+6,005","36,688",729,"67,045",808,"6,502,520","632,299","10,283,931",Asia,15,"1,238",2
36,Serbia,"664,972","+2,604","6,026",+35,"594,605","+5,070","64,341",217,"76,353",692,"3,695,993","424,380","8,709,164",Europe,13,"1,445",2
37,Switzerland,"637,304","+4,905","10,521",+13,"570,159","56,624",232,"73,210","1,209","6,538,153","751,067","8,705,157",Europe,14,827,1
38,Austria,"595,540","+2,117","9,922",+24,"557,467","+2,249","28,151",570,"65,824","1,097","29,014,550","3,206,931","9,047,452",Europe,15,912,0
39,Japan,"534,052","+4,223","9,641",+19,"483,052","+2,259","41,359",738,"4,233",76,"10,918,947","86,544","126,166,238",Asia,236,"13,086",12
40,Lebanon,"511,398",+995,"6,959",+34,"429,598","+5,750","74,841",785,"75,195","1,023","3,834,228","563,779","6,800,944",Asia,13,977,2
41,Morocco,"505,949",+138,"8,952",+7,"492,100",+290,"4,897",249,"13,579",240,"6,167,072","165,518","37,259,282",Africa,74,"4,162",6
42,UAE,"498,957","+1,803","1,556",+2,"481,326","+1,760","16,075","49,967",156,"41,909,042","4,196,929","9,985,644",Asia,20,"6,418",0
43,Saudi Arabia,"405,940",+970,"6,834",+11,"389,598",+896,"9,508","1,087","11,518",194,"16,231,540","460,529","35,245,402",Asia,87,"5,157",2
44,Bulgaria,"388,815","+2,434","15,412",+217,"310,922","+4,244","62,481",780,"56,297","2,232","2,378,019","344,317","6,906,478",Europe,18,448,3
