#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"35,606,118","+482,924","482,343","+3,930","30,719,304","+345,583","4,404,471","30,152",,,,,,Asia,,,,,,
,North America,"37,755,151","+87,404","851,997","+1,624","29,429,666","+73,825","7,473,488","17,504",,,,,,North America,,,,,,
,South America,"23,896,097","+122,128","639,580","+3,933","21,515,405","+91,137","1,741,112","26,461",,,,,,South America,,,,,,
,Europe,"43,491,435","+187,600","990,030","+3,726","37,848,855","+172,164","4,652,550","32,121",,,,,,Europe,,,,,,
,Africa,"4,513,252","+12,225","119,538",+308,"4,033,766","+10,613","359,948","3,837",,,,,,Africa,,,,,,
,Oceania,"61,933",+26,"1,184",,"41,353",+10,"19,396",8,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"145,324,707","+892,307","3,084,687","+13,521","123,589,055","+693,332","18,650,965","110,083","18,644",395.7,,,,All,,,,,,
1,China,"90,547",+6,"4,636",,"85,608",+8,303,5,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,896","310,467",9,,,0.2
2,USA,"32,669,189","+67,138","584,285",+926,"25,236,658","+59,224","6,848,246","9,962","98,231","1,757","435,438,612","1,309,297","332,574,397",North America,10,569,1,202,3,"20,592"
3,India,"16,257,309","+332,503","186,928","+2,256","13,641,606","+192,200","2,428,775","8,944","11,688",134,"272,705,103","196,053","1,390,975,476",Asia,86,"7,441",5,239,2,"1,746"
4,Brazil,"14,172,139","+49,344","383,757","+2,070","12,673,785","+27,653","1,114,597","8,318","66,292","1,795","28,600,000","133,781","213,782,412",South America,15,557,7,231,10,"5,214"
5,France,"5,408,606","+34,318","102,164",+283,"4,243,176","+24,569","1,063,266","5,981","82,712","1,562","73,468,365","1,123,531","65,390,614",Europe,12,640,1,525,4,"16,260"
6,Russia,"4,736,121","+8,996","107,103",+397,"4,361,807","+8,934","267,211","2,300","32,442",734,"126,800,000","868,581","145,985,225",Europe,31,"1,363",1,62,3,"1,830"
7,Turkey,"4,501,382","+54,791","37,329",+354,"3,909,935","+65,593","554,118","3,463","52,912",439,"45,040,704","529,438","85,072,664",Asia,19,"2,279",2,644,4,"6,513"
8,UK,"4,398,431","+2,729","127,345",+18,"4,171,798","+5,064","99,288",276,"64,517","1,868","147,468,783","2,163,097","68,174,839",Europe,15,535,0,40,0.3,"1,456"
9,Italy,"3,920,942","+16,229","118,357",+360,"3,330,392","+19,125","472,193","3,021","64,927","1,960","56,250,055","931,452","60,389,660",Europe,15,510,1,269,6,"7,819"
10,Spain,"3,456,886","+10,814","77,496",+132,"3,156,955","+5,368","222,435","2,283","73,913","1,657","44,374,223","948,786","46,769,469",Europe,14,604,1,231,3,"4,756"
11,Germany,"3,238,054","+29,382","81,693",+311,"2,845,300","+21,200","311,061","5,049","38,548",973,"54,061,332","643,579","84,001,076",Europe,26,"1,028",2,350,4,"3,703"
12,Argentina,"2,796,768","+27,216","60,620",+537,"2,449,793","+25,118","286,355","4,791","61,425","1,331","10,521,258","231,078","45,531,211",South America,16,751,4,598,12,"6,289"
13,Poland,"2,731,264","+12,770","64,168",+694,"2,380,787","+14,557","286,309","3,229","72,231","1,697","13,767,550","364,096","37,812,968",Europe,14,589,3,338,18,"7,572"
14,Colombia,"2,720,619","+19,306","70,026",+430,"2,538,020","+16,076","112,573","5,306","53,011","1,364","14,134,970","275,421","51,321,307",South America,19,733,4,376,8,"2,193"
15,Iran,"2,335,905","+24,092","68,366",+453,"1,837,590","+13,632","429,949","5,038","27,526",806,"14,854,140","175,040","84,861,311",Asia,36,"1,241",6,284,5,"5,066"
16,Mexico,"2,315,811","+4,639","213,597",+549,"1,839,381","+3,004","262,833","4,798","17,810","1,643","6,463,391","49,708","130,027,857",North America,56,609,20,36,4,"2,021"
17,Ukraine,"1,990,353","+16,235","41,266",+470,"1,533,303","+18,831","415,784",177,"45,734",948,"9,089,301","208,852","43,520,193",Europe,22,"1,055",5,373,11,"9,554"
18,Peru,"1,734,606","+7,800","58,604",+343,"1,661,792","+8,381","14,210","2,614","52,024","1,758","10,650,847","319,436","33,342,684",South America,19,569,3,234,10,426
19,Indonesia,"1,626,812","+6,243","44,172",+165,"1,481,449","+5,993","101,191",,"5,897",160,"14,111,521","51,154","275,861,782",Asia,170,"6,245",20,23,0.6,367
