Date,Daily new cases,Daily new deaths
15/02/2020,null,null
16/02/2020,0,null
17/02/2020,0,null
18/02/2020,0,null
19/02/2020,0,null
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,0,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,0,0
1/3/2020,0,0
2/3/2020,3,0
3/3/2020,1,0
4/3/2020,22,0
5/3/2020,1,0
6/3/2020,1,0
7/3/2020,3,0
8/3/2020,6,0
9/3/2020,7,0
10/3/2020,15,0
11/3/2020,0,0
12/3/2020,12,1
13/03/2020,8,1
14/03/2020,18,0
15/03/2020,14,0
16/03/2020,15,0
17/03/2020,14,1
18/03/2020,26,0
19/03/2020,25,1
20/03/2020,55,1
21/03/2020,83,0
22/03/2020,64,2
23/03/2020,103,3
24/03/2020,37,0
25/03/2020,121,2
26/03/2020,70,8
27/03/2020,160,0
28/03/2020,100,4
29/03/2020,37,3
30/03/2020,227,5
31/03/2020,146,3
1/4/2020,601,23
2/4/2020,545,14
3/4/2020,516,14
4/4/2020,529,13
5/4/2020,701,19
6/4/2020,489,18
7/4/2020,573,24
8/4/2020,565,18
9/4/2020,809,49
10/4/2020,875,22
11/4/2020,846,39
12/4/2020,759,43
13/04/2020,1248,27
14/04/2020,1034,35
15/04/2020,883,29
16/04/2020,1060,26
17/04/2020,922,38
18/04/2020,2013,35
19/04/2020,1250,38
20/04/2020,924,33
21/04/2020,1541,53
22/04/2020,1290,36
23/04/2020,1669,40
24/04/2020,1408,59
25/04/2020,1836,45
26/04/2020,1607,56
27/04/2020,1561,58
28/04/2020,1873,69
29/04/2020,1738,71
30/04/2020,1801,75
1/5/2020,2394,69
2/5/2020,2442,100
3/5/2020,2806,68
4/5/2020,3932,175
5/5/2020,2963,127
6/5/2020,3587,92
7/5/2020,3364,104
8/5/2020,3344,96
9/5/2020,3113,116
10/5/2020,4353,111
11/5/2020,3607,82
12/5/2020,3524,121
13/05/2020,3763,136
14/05/2020,3942,98
15/05/2020,3787,104
16/05/2020,4864,118
17/05/2020,5050,154
18/05/2020,4630,131
19/05/2020,6147,146
20/05/2020,5553,132
21/05/2020,6198,150
22/05/2020,6568,142
23/05/2020,6629,142
24/05/2020,7113,156
25/05/2020,6414,148
26/05/2020,5843,172
27/05/2020,7293,190
28/05/2020,7300,177
29/05/2020,8105,269
30/05/2020,8336,205
31/05/2020,8782,223
1/6/2020,7761,200
2/6/2020,8821,221
3/6/2020,9633,259
4/6/2020,9889,275
5/6/2020,9471,286
6/6/2020,10438,297
7/6/2020,10864,261
8/6/2020,8442,266
9/6/2020,8852,246
10/6/2020,12375,388
11/6/2020,11128,394
12/6/2020,11320,389
13/06/2020,12023,309
14/06/2020,11157,321
15/06/2020,10243,395
16/06/2020,11135,2006
17/06/2020,13103,341
18/06/2020,13827,342
19/06/2020,14721,366
20/06/2020,15915,307
21/06/2020,15183,426
22/06/2020,13540,312
23/06/2020,15665,468
24/06/2020,16870,424
25/06/2020,18185,401
26/06/2020,18276,381
27/06/2020,20131,414
28/06/2020,19620,384
29/06/2020,18339,417
30/06/2020,18256,506
1/7/2020,19428,438
2/7/2020,21948,377
3/7/2020,22721,444
4/7/2020,24015,610
5/7/2020,23932,421
6/7/2020,22510,474
7/7/2020,23135,479
8/7/2020,25571,491
9/7/2020,25790,479
10/7/2020,27761,521
11/7/2020,27755,543
12/7/2020,29108,500
13/07/2020,28179,540
14/07/2020,29842,588
15/07/2020,32682,614
