#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,650,551","+446,048","474,557","+3,700","30,052,814","+311,994","4,123,180","29,745",Asia
North America,"37,582,123","+75,523","848,741","+1,148","29,266,575","+77,901","7,466,807","17,436",North America
South America,"23,635,736","+143,744","631,173","+4,900","21,283,786","+163,506","1,720,777","26,034",South America
Europe,"43,124,336","+156,374","982,402","+3,745","37,497,390","+163,512","4,644,544","32,479",Europe
Africa,"4,489,169","+11,006","118,919",+418,"4,011,395","+15,075","358,855","3,788",Africa
Oceania,"61,500",+34,"1,176",+1,"41,338","+6,548","18,986",8,Australia/Oceania
721,15,706,0,0
World,"143,544,136","+832,729","3,056,983","+13,912","122,154,004","+738,536","18,333,149","109,490","18,415",392.2,All
1,China,"90,520",+10,"4,636","85,573",+14,311,5,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,901","310,467",9
2,USA,"32,536,470","+60,317","582,456",+883,"25,105,535","+62,072","6,848,479","10,048","97,837","1,751","431,941,723","1,298,844","332,558,517",North America,10,571,1
3,India,"15,609,004","+294,290","182,570","+2,020","13,269,863","+166,643","2,156,571","8,944","11,223",131,"269,414,035","193,703","1,390,864,355",Asia,89,"7,618",5
4,Brazil,"14,050,885","+73,172","378,530","+3,481","12,561,689","+100,977","1,110,666","8,318","65,729","1,771","28,600,000","133,789","213,770,046",South America,15,565,7
5,France,"5,339,920","+43,098","101,597",+375,"4,181,381","+30,092","1,056,942","5,984","81,663","1,554","72,873,077","1,114,447","65,389,433",Europe,12,644,1
6,Russia,"4,718,854","+8,164","106,307",+379,"4,343,229","+9,631","269,318","2,300","32,324",728,"126,200,000","864,474","145,984,714",Europe,31,"1,373",1
7,UK,"4,393,307","+2,524","127,307",+33,"4,161,433","+5,298","104,567",318,"64,445","1,867","145,197,408","2,129,871","68,171,922",Europe,16,535,0
8,Turkey,"4,384,624","+61,028","36,613",+346,"3,792,129","+55,592","555,882","3,375","51,544",430,"44,409,756","522,067","85,065,229",Asia,19,"2,323",2
9,Italy,"3,891,063","+12,074","117,633",+390,"3,290,715","+22,453","482,715","3,151","64,432","1,948","55,535,217","919,604","60,390,385",Europe,16,513,1
10,Spain,"3,435,840","+7,486","77,216",+114,"3,147,281","+2,928","211,343","2,289","73,464","1,651","44,374,223","948,789","46,769,321",Europe,14,606,1
11,Germany,"3,180,810","+16,363","81,086",+312,"2,803,600","+16,400","296,124","4,932","37,867",965,"52,737,238","627,833","83,998,886",Europe,26,"1,036",2
12,Argentina,"2,743,620","+29,145","59,792",+316,"2,407,853","+21,470","275,975","4,366","60,263","1,313","10,320,622","226,688","45,527,815",South America,17,761,4
13,Poland,"2,704,567","+9,242","62,733",+600,"2,354,652","+19,674","287,182","3,287","71,524","1,659","13,687,251","361,969","37,813,307",Europe,14,603,3
14,Colombia,"2,684,101","+16,965","69,177",+429,"2,505,738","+17,492","109,186","5,306","52,304","1,348","13,978,773","272,401","51,316,864",South America,19,742,4
15,Mexico,"2,306,910","+1,308","212,466",+127,"1,833,132","+3,652","261,312","4,798","17,743","1,634","6,412,677","49,322","130,016,760",North America,56,612,20
16,Iran,"2,286,927","+25,492","67,525",+395,"1,810,531","+13,212","408,871","4,911","26,952",796,"14,613,010","172,217","84,852,500",Asia,37,"1,257",6
17,Ukraine,"1,961,956","+8,940","40,367",+367,"1,499,752","+12,075","421,837",177,"45,079",928,"8,958,482","205,836","43,522,336",Europe,22,"1,078",5
18,Peru,"1,719,088","+11,301","57,954",+417,"1,645,100","+8,814","16,034","2,580","51,564","1,738","10,524,419","315,680","33,338,918",South America,19,575,3
19,Indonesia,"1,614,849","+5,549","43,777",+210,"1,468,142","+6,728","102,930","5,854",159,"13,939,364","50,535","275,838,089",Asia,171,"6,301",20
20,Czechia,"1,606,074","+3,330","28,683",+67,"1,517,568",+188,"59,823",888,"149,751","2,674","15,989,327","1,490,856","10,724,928",Europe,7,374,1
21,South Africa,"1,568,366",+853,"53,887",+130,"1,494,630","+3,754","19,849",546,"26,180",900,"10,379,089","173,255","59,906,596",Africa,38,"1,112",6
22,Netherlands,"1,417,772","+6,822","16,965",+27,"1,184,607","+6,943","216,200",821,"82,595",988,"11,781,337","686,346","17,165,301",Europe,12,"1,012",1
23,Canada,"1,139,043","+7,270","23,713",+46,"1,027,458","+7,679","87,872","1,167","29,969",624,"30,168,562","793,761","38,007,134",North America,33,"1,603",1
24,Chile,"1,136,435","+5,095","25,317",+40,"1,067,662","+6,836","43,456","3,372","59,043","1,315","12,472,168","647,985","19,247,606",South America,17,760,2
25,Romania,"1,034,003","+2,931","26,618",+237,"950,242","+5,468","57,143","1,432","54,039","1,391","7,950,663","415,517","19,134,403",Europe,19,719,2
26,Iraq,"993,158","+8,208","15,060",+34,"870,927","+6,888","107,171",486,"24,258",368,"8,891,116","217,167","40,941,346",Asia,41,"2,719",5
27,Philippines,"953,080","+7,353","16,141",+93,"809,909","+21,614","127,030",750,"8,606",146,"11,242,391","101,514","110,746,960",Asia,116,"6,861",10
28,Belgium,"951,626","+1,630","23,782",+35,"804,194","123,650",931,"81,825","2,045","12,004,992","1,032,237","11,630,075",Europe,12,489,1
29,Sweden,"924,340","+7,520","13,828",+1,"741,752","+1,578","168,760",416,"91,070","1,362","8,151,774","803,151","10,149,737",Europe,11,734,1
30,Israel,"837,357",+139,"6,345",+4,"828,902",+216,"2,110",175,"91,041",690,"14,014,683","1,523,734","9,197,590",Asia,11,"1,450",1
31,Portugal,"831,645",+424,"16,951",+5,"790,118",+902,"24,576",113,"81,752","1,666","9,851,332","968,398","10,172,808",Europe,12,600,1
32,Pakistan,"766,882","+5,445","16,453",+137,"667,131","+4,286","83,298","4,494","3,419",73,"11,272,531","50,254","224,312,593",Asia,292,"13,634",20
33,Hungary,"754,833","+1,645","25,580",+199,"461,181","+2,969","268,072",980,"78,297","2,653","5,157,082","534,932","9,640,633",Europe,13,377,2
34,Bangladesh,"727,780","+4,559","10,588",+91,"628,111","+6,811","89,081","4,384",64,"5,221,275","31,453","166,002,634",Asia,228,"15,678",32
