#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,World,"144,432,409","+888,273","3,071,137","+14,090","122,895,731","18,465,541","109,837","18,529",394.0,,,,All
,Europe,"43,303,844","+180,085","986,304","+3,836","37,676,699","4,640,841","32,267",,,,,,Europe
,North America,"37,667,747","+85,091","850,344","+1,605","29,355,841","7,461,562","17,543",,,,,,North America
,Asia,"35,123,194","+472,643","478,413","+3,856","30,373,721","4,271,060","29,935",,,,,,Asia
1,USA,"32,602,051","+65,057","583,330",+876,"25,177,434","6,841,287","10,009","98,031","1,754","433,439,646","1,303,307","332,569,103",North America
,South America,"23,773,969","+138,233","635,647","+4,474","21,424,268","1,714,054","26,228",,,,,,South America
2,India,"15,924,806","+315,802","184,672","+2,102","13,449,406","2,290,728","8,944","11,449",133,"271,053,392","194,871","1,390,938,435",Asia
3,Brazil,"14,122,795","+71,910","381,687","+3,157","12,646,132","1,094,976","8,318","66,063","1,785","28,600,000","133,783","213,778,290",South America
4,France,"5,374,288","+34,968","101,881",+313,"4,218,607","1,053,800","5,959","82,188","1,558","72,936,321","1,115,401","65,390,220",Europe
5,Russia,"4,727,125","+8,271","106,706",+399,"4,352,873","267,546","2,300","32,381",731,"126,500,000","866,527","145,985,055",Europe
,Africa,"4,501,027","+11,814","119,230",+311,"4,023,153","358,644","3,856",,,,,,Africa
6,Turkey,"4,446,591","+61,967","36,975",+362,"3,844,342","565,274","3,398","52,270",435,"44,728,595","525,785","85,070,186",Asia
7,UK,"4,395,702","+2,395","127,327",+22,"4,166,734","101,641",300,"64,478","1,868","146,043,397","2,142,220","68,173,867",Europe
8,Italy,"3,904,713","+13,658","117,997",+364,"3,311,267","475,449","3,076","64,658","1,954","55,885,251","925,407","60,389,901",Europe
9,Spain,"3,446,072","+10,232","77,364",+148,"3,151,587","217,121","2,288","73,682","1,654","44,374,223","948,787","46,769,420",Europe
10,Germany,"3,208,672","+27,862","81,382",+296,"2,824,100","303,190","4,932","38,198",969,"52,737,238","627,822","84,000,346",Europe
11,Argentina,"2,769,552","+25,932","60,083",+291,"2,424,675","284,794","4,492","60,829","1,320","10,421,935","228,902","45,530,079",South America
12,Poland,"2,718,494","+13,927","63,474",+741,"2,366,230","288,790","3,265","71,893","1,679","13,767,550","364,095","37,813,081",Europe
13,Colombia,"2,701,313","+17,212","69,596",+419,"2,521,944","109,773","5,306","52,637","1,356","14,052,886","273,830","51,319,826",South America
14,Iran,"2,311,813","+24,886","67,913",+388,"1,823,958","419,942","4,991","27,243",800,"14,739,719","173,698","84,858,374",Asia
15,Mexico,"2,311,172","+4,262","213,048",+582,"1,836,377","261,747","4,798","17,775","1,639","6,438,267","49,516","130,024,158",North America
16,Ukraine,"1,974,118","+12,162","40,796",+429,"1,514,472","418,850",177,"45,360",937,"8,996,039","206,706","43,520,907",Europe
17,Peru,"1,726,806","+7,718","58,261",+307,"1,653,411","15,134","2,628","51,792","1,747","10,582,462","317,397","33,341,429",South America
18,Indonesia,"1,620,569","+5,720","44,007",+230,"1,475,456","101,106",,"5,875",160,"14,032,928","50,871","275,853,884",Asia
19,Czechia,"1,609,895","+3,815","28,779",+60,"1,522,017","59,099",861,"150,106","2,683","16,239,529","1,514,170","10,725,036",Europe
20,South Africa,"1,569,935","+1,569","53,940",+53,"1,495,864","20,131",546,"26,205",900,"10,413,180","173,812","59,910,682",Africa
21,Netherlands,"1,426,243","+8,471","16,982",+17,"1,190,841","218,420",817,"83,088",989,"11,781,337","686,338","17,165,507",Europe
22,Canada,"1,147,464","+8,421","23,763",+50,"1,037,898","85,803","1,312","30,189",625,"30,274,366","796,506","38,008,941",North America
