#,"Country,Other",NewCases
,Asia,"482,924"
,North America,"87,404"
,South America,"122,128"
,Europe,"187,600"
,Africa,"12,225"
,Oceania,26
,,
,World,"892,307"
1,China,21
2,USA,"65,057"
3,India,"315,802"
4,Brazil,"71,910"
5,France,"34,968"
6,Russia,"8,271"
7,Turkey,"61,967"
8,UK,"2,729"
9,Italy,"13,658"
10,Spain,"10,232"
11,Germany,"27,862"
12,Argentina,"25,932"
13,Poland,"13,927"
14,Colombia,"17,212"
15,Iran,"24,886"
16,Mexico,"4,639"
17,Ukraine,"12,162"
18,Peru,"7,718"
19,Indonesia,"6,243"
20,Czechia,"2,951"
21,South Africa,"1,413"
22,Netherlands,"8,471"
