Segment,Date,TotalCases
NewCases,13/04/2021,"745,410"
NewRecovered,13/04/2021,"594,116"
NewDeaths,13/04/2021,"12,923"
NewCases,14/04/2021,"804,316"
NewRecovered,14/04/2021,"568,713"
NewDeaths,14/04/2021,"13,532"
NewCases,15/04/2021,"836,306"
NewRecovered,15/04/2021,"608,348"
NewDeaths,15/04/2021,"13,839"
NewCases,16/04/2021,"830,107"
NewRecovered,16/04/2021,"619,837"
NewDeaths,16/04/2021,"12,552"
NewCases,18/04/2021,"892,307"
NewRecovered,18/04/2021,"693,332"
NewDeaths,18/04/2021,"13,521"
NewCases,19/04/2021,"657,827"
NewRecovered,19/04/2021,"688,618"
NewDeaths,19/04/2021,"9,813"
NewCases,20/04/2021,"832,729"
NewRecovered,20/04/2021,"738,536"
NewDeaths,20/04/2021,"13,912"
NewCases,21/04/2021,"888,273"
NewRecovered,21/04/2021,"741,727"
NewDeaths,21/04/2021,"14,090"
NewCases,22/04/2021,"892,307"
NewRecovered,22/04/2021,"693,332"
NewDeaths,22/04/2021,"13,521"
NewCases,23/04/2021,"896,922"
NewRecovered,23/04/2021,"735,876"
NewDeaths,23/04/2021,"14,218"
NewCases,24/04/2021,"829,995"
NewRecovered,24/04/2021,"713,281"
NewDeaths,24/04/2021,"13,486"
