#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"36,091,740","+485,622","486,615","+4,272","31,082,067","+362,763","4,523,058","30,303",,,,,,Asia,,,,,,
,North America,"37,841,567","+86,416","853,485","+1,488","29,504,731","+75,065","7,483,351","17,371",,,,,,North America,,,,,,
,South America,"24,043,881","+147,784","644,237","+4,657","21,615,453","+100,048","1,784,191","26,538",,,,,,South America,,,,,,
,Europe,"43,656,471","+165,036","993,454","+3,424","38,035,238","+186,383","4,627,779","31,874",,,,,,Europe,,,,,,
,Africa,"4,525,278","+12,026","119,915",+377,"4,045,332","+11,566","360,031","3,790",,,,,,Africa,,,,,,
,Oceania,"61,971",+38,"1,184",,"41,404",+51,"19,383",8,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"146,221,629","+896,922","3,098,905","+14,218","124,324,931","+735,876","18,797,793","109,884","18,759",397.6,,,,All,,,,,,
1,China,"90,566",+19,"4,636",,"85,624",+16,306,5,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,893","310,467",9,0.01,,0.2
2,USA,"32,735,704","+66,515","585,075",+790,"25,296,047","+59,389","6,854,582","9,832","98,431","1,759","437,068,081","1,314,196","332,574,397",North America,10,568,1,200,2,"20,611"
3,India,"16,602,456","+345,147","189,549","+2,621","13,862,119","+220,513","2,550,788","8,944","11,936",136,"274,445,653","197,304","1,390,975,476",Asia,84,"7,338",5,248,2,"1,834"
4,Brazil,"14,238,110","+65,971","386,623","+2,866","12,711,103","+37,318","1,140,384","8,318","66,601","1,808","28,600,000","133,781","213,782,412",South America,15,553,7,309,13,"5,334"
5,France,"5,440,946","+32,340","102,496",+332,"4,276,282","+33,106","1,062,168","5,962","83,207","1,567","73,826,703","1,129,011","65,390,614",Europe,12,638,1,495,5,"16,243"
6,Russia,"4,744,961","+8,840","107,501",+398,"4,371,214","+9,407","266,246","2,300","32,503",736,"127,100,000","870,636","145,985,225",Europe,31,"1,358",1,61,3,"1,824"
7,Turkey,"4,550,820","+49,438","37,672",+343,"3,970,111","+60,176","543,037","3,475","53,493",443,"45,342,795","532,989","85,072,664",Asia,19,"2,258",2,581,4,"6,383"
8,UK,"4,401,109","+2,678","127,385",+40,"4,177,375","+5,577","96,349",261,"64,556","1,869","147,468,783","2,163,097","68,174,839",Europe,15,535,0,39,0.6,"1,413"
9,Italy,"3,935,703","+14,761","118,699",+342,"3,351,461","+21,069","465,543","2,979","65,172","1,966","56,565,755","936,679","60,389,660",Europe,15,509,1,244,6,"7,709"
10,Spain,"3,468,617","+11,731","77,591",+95,"3,163,849","+6,894","227,177","2,297","74,164","1,659","44,374,223","948,786","46,769,469",Europe,13,603,1,251,2,"4,857"
11,Germany,"3,261,764","+23,710","81,936",+243,"2,865,000","+19,700","314,828","5,049","38,830",975,"54,061,332","643,579","84,001,076",Europe,26,"1,025",2,282,3,"3,748"
12,Argentina,"2,824,652","+27,884","61,176",+556,"2,474,514","+24,721","288,962","4,805","62,038","1,344","10,608,118","232,986","45,531,211",South America,16,744,4,612,12,"6,346"
13,Poland,"2,742,122","+10,858","64,707",+539,"2,401,457","+20,670","275,958","3,223","72,518","1,711","13,901,801","367,646","37,812,968",Europe,14,584,3,287,14,"7,298"
