#,"Country,Other",NewCases
,Asia,"482,924"
,North America,"87,404"
,South America,"122,128"
,Europe,"187,600"
,Africa,"12,225"
,Oceania,26
,,
,World,"892,307"
1,China,6
2,USA,"51,650"
3,India,"256,947"
4,Brazil,"34,642"
5,France,"6,696"
6,Russia,"8,589"
7,Turkey,"55,149"
8,UK,"2,729"
9,Italy,"8,864"
10,Spain,"6,898"
11,Germany,"13,417"
12,Argentina,"20,461"
13,Poland,"7,283"
14,Colombia,"14,189"
15,Iran,"24,346"
16,Mexico,"4,639"
17,Ukraine,"6,506"
18,Peru,"3,030"
19,Indonesia,"6,243"
20,Czechia,"2,951"
21,South Africa,"1,413"
22,Netherlands,"7,117"
